Iteration,Distance
0,2818.621642239474
1,3168.2826774070045
2,32213.485597915293
3,33459.44917274313
4,32568.624656739128
5,34011.98838649781
6,34790.61944367607
7,32467.94080404778
8,32913.25331968122
9,32802.73298510273
10,32470.045913410588
11,34406.02939010507
12,35115.41954789007
13,34533.42039436999
14,32677.523479510037
15,34290.64247359075
16,34368.196270205364
17,32474.561658658593
18,32037.228481502443
19,34899.24457543877
20,34518.49472492918
21,33219.17121270981
22,33893.987726277985
23,33016.58801043475
24,31510.32319449912
25,33744.570900028106
26,33323.94878567002
27,32737.594460954406
28,32494.571013621695
29,32874.757268988455
30,33555.81826705897
31,34351.62832139572
32,34626.58961858071
33,34027.39084629468
34,33858.57974559621
35,32548.019143987854
36,32715.997083088914
37,33157.76421027529
38,33660.24433483908
39,33930.52157138373
40,33549.88189779204
41,35446.878974041974
42,34233.64719025196
43,32822.26990384462
44,33335.300592215455
45,33534.694052818195
46,33949.32254193675
47,34104.958531208096
48,33551.9222275335
49,32075.56915299643
50,32093.283984791557
51,33552.77325955118
52,34355.61407746704
53,34209.00615282697
54,34124.29437073781
55,33857.8892676204
56,33823.198443734254
57,33543.45343196172
58,33909.31820181757
59,33230.3961394891
60,33519.12708136055
61,33545.118012952385
62,33550.13952236298
63,32839.691711568616
64,33697.013228056516
65,33123.52831611711
66,33325.809280382884
67,31864.952484455323
68,32237.86940733871
69,34146.081603427214
70,33185.62788120119
71,32796.85027891861
72,34172.63513493693
73,33798.73352204986
74,33260.788999560325
75,33094.03563132618
76,33515.68112458112
77,34431.94702263263
78,34267.930337612925
79,34067.33666463863
80,33608.71284343316
81,32702.476936840238
82,33105.77259597473
83,32861.90138122752
84,31960.042652084667
85,32156.228348278964
86,33113.1301776557
87,34267.53950762682
88,33830.12172587934
89,33397.00530390808
90,34057.10692290791
91,34186.39936436203
92,33857.256836094464
93,33427.42316044941
94,33083.77624686523
95,32138.80725202258
96,33367.436997169345
97,34119.117992203326
98,33950.86840367094
99,33282.89091470514
100,34363.97940573918
101,34754.61493353205
102,34914.91907480618
103,34048.77189100516
104,33914.36231611242
105,33159.68833580978
106,33304.787897628725
107,33527.02704401456
108,33444.374581222495
109,32505.77907544017
110,33229.117087142746
111,33352.7809021588
112,34069.72923105642
113,33950.14146192089
114,33760.96132353169
115,32188.755424978364
116,32928.315454667834
117,33384.57250716446
118,33714.87704951167
119,33083.95043389654
120,34145.95454844522
121,32175.626624620898
122,32389.34071220759
123,32817.44717860971
124,33248.10686390969
125,34466.67967879629
126,34542.02509863588
127,34209.34700865246
128,33789.96201165823
129,33062.14105077633
130,32870.05969348454
131,31991.627565255072
132,33967.1595885658
133,33546.650925643495
134,34806.65494607838
135,33947.20657193973
136,34142.027435732125
137,34658.09404700467
138,33780.3015156003
139,33593.69421001372
140,33248.676366165935
141,32614.15224878875
142,32362.68785971162
143,33585.100273060765
144,33347.57332682757
145,34630.98960666459
146,33737.50899248721
147,32332.405253720764
148,35030.18922372536
149,34320.28858963661
150,33909.287210045804
151,32829.18839728244
152,32338.256198636092
153,31957.684267665965
154,31924.675794643586
155,32583.260056279316
156,32883.28215114978
157,33259.569150806754
158,33838.39505166626
159,32636.781320653994
160,31509.058943593478
161,33067.513850319134
162,32791.25895745362
163,34149.065459567915
164,35014.78302260048
165,34181.56401469142
166,33047.98501972254
167,34452.73219121034
168,31712.812221266053
169,33649.79508775728
170,33375.02999908572
171,33142.44961877429
172,33635.57573588484
173,32936.78945808422
174,32706.816538199386
175,33426.50585315516
176,32567.882422652674
177,35488.24525231601
178,33739.30240175401
179,34159.59066814368
180,34156.50823532176
181,33667.93063549874
182,34018.2075270457
183,34276.401305634725
184,33674.24249947614
185,34780.706132456464
186,33699.64157517726
187,33877.98504203535
188,33880.95170005709
189,33162.47652590669
190,34375.31008932017
191,35231.591235728854
192,35293.538033841076
193,33281.390074738476
194,32887.8762104026
195,34635.09895742664
196,33597.31985905806
197,34189.68552685681
198,33736.545474453334
199,32054.864736664404
