Iteration,Distance
0,22205.617692710774
1,21532.863270507518
2,20909.46434459034
3,20884.650314443974
4,20884.650314443974
5,20884.650314443974
6,20884.650314443974
7,20884.650314443974
8,20884.650314443974
9,20870.36889548226
10,20631.751548154665
11,20571.472574397347
12,20571.472574397347
13,20392.380266712513
14,20360.526927886505
15,20308.076144420844
16,19631.442347846907
17,19293.36719496882
18,19117.692593526586
19,18831.451073620872
20,18831.451073620872
21,18825.866012050745
22,18486.695937982393
23,18486.695937982393
24,18320.729146864258
25,18320.729146864258
26,18303.175183837557
27,18303.175183837557
28,18303.175183837557
29,18303.175183837557
30,18303.175183837557
31,18303.175183837557
32,18303.175183837557
33,18303.175183837557
34,18303.175183837557
35,17994.02625995357
36,17760.41571940168
37,17760.41571940168
38,17760.41571940168
39,17760.41571940168
40,17760.41571940168
41,17760.41571940168
42,17760.41571940168
43,17760.41571940168
44,17225.82345342383
45,16891.218216647307
46,16863.695197604196
47,16816.928415908864
48,16713.593828331446
49,16713.593828331446
50,16713.593828331446
51,16699.47715792185
52,16699.47715792185
53,16690.859227766614
54,16591.05760585884
55,16591.05760585884
56,16591.05760585884
57,16591.05760585884
58,16384.810630846674
59,16089.408468729762
60,16089.408468729762
61,16089.408468729762
62,16089.408468729762
63,16089.408468729762
64,16089.408468729762
65,16089.408468729762
66,16089.408468729762
67,16089.408468729762
68,16089.408468729762
69,16089.408468729762
70,16089.408468729762
71,16076.362813557018
72,15934.846343986455
73,15934.846343986455
74,15934.846343986455
75,15857.675099986907
76,15857.675099986907
77,15857.675099986907
78,15857.675099986907
79,15747.40698105802
80,15747.40698105802
81,15737.85481014661
82,15737.85481014661
83,15737.85481014661
84,15737.85481014661
85,15737.85481014661
86,15737.85481014661
87,15737.85481014661
88,15666.990570104095
89,15666.990570104095
90,15662.199401506254
91,15662.199401506254
92,15652.319508710847
93,15652.319508710847
94,15652.319508710847
95,15609.566223856627
96,15609.566223856627
97,15521.46622365347
98,15497.371839525269
99,15421.86977166494
100,15421.86977166494
101,15070.176341041959
102,14989.807865649997
103,14735.59614234195
104,14735.59614234195
105,14735.59614234195
106,14735.59614234195
107,14735.59614234195
108,14735.59614234195
109,14624.368053385018
110,14624.368053385018
111,14624.368053385018
112,14624.368053385018
113,14624.368053385018
114,14624.368053385018
115,14624.368053385018
116,14624.368053385018
117,14624.368053385018
118,14505.700255167143
119,14505.700255167143
120,14505.700255167143
121,14505.700255167143
122,14505.700255167143
123,14505.700255167143
124,14505.700255167143
125,14505.700255167143
126,14505.700255167143
127,14505.700255167143
128,14505.700255167143
129,14505.700255167143
130,14505.700255167143
131,14363.03297232061
132,14363.03297232061
133,14363.03297232061
134,14353.163775272218
135,14353.163775272218
136,14353.163775272218
137,14353.163775272218
138,14353.163775272218
139,14353.163775272218
140,14353.163775272218
141,14353.163775272218
142,14353.163775272218
143,14353.163775272218
144,14353.163775272218
145,14353.163775272218
146,14353.163775272218
147,14353.163775272218
148,14353.163775272218
149,14353.163775272218
150,14353.163775272218
151,14353.163775272218
152,14353.163775272218
153,14353.163775272218
154,14353.163775272218
155,14353.163775272218
156,14353.163775272218
