Iteration,Distance
0,2818.621642239474
1,2818.621642239474
2,3275.3691718147224
3,3798.687117184674
4,3798.687117184674
5,3798.687117184674
6,3798.687117184674
7,4086.3821272912846
8,4466.593258381859
9,5241.590127237241
10,5241.590127237241
11,5241.590127237241
12,5241.590127237241
13,5479.494297764573
14,5834.1426987341165
15,5834.1426987341165
16,5834.1426987341165
17,5834.1426987341165
18,5834.1426987341165
19,6618.114203036583
20,7088.539688455314
21,7088.539688455314
22,7212.874279333191
23,7472.464408718954
24,7472.464408718954
25,7748.291196024018
26,7748.291196024018
27,7748.291196024018
28,7755.41929568482
29,7773.765351476903
30,7984.296644987253
31,7984.296644987253
32,8139.2948567761605
33,8139.2948567761605
34,8139.2948567761605
35,8139.2948567761605
36,8198.062422185041
37,8198.062422185041
38,8730.162320194524
39,8864.71809944913
40,8881.273714130819
41,8881.273714130819
42,8883.765259322414
43,8883.765259322414
44,8883.765259322414
45,8883.765259322414
46,9280.942214769859
47,9792.045683184622
48,9943.980791795164
49,10686.464795610651
50,10702.545952329516
51,10702.545952329516
52,10702.545952329516
53,10723.422302612857
54,10723.422302612857
55,10723.422302612857
56,10723.422302612857
57,10723.422302612857
58,10723.422302612857
59,10822.481575316833
60,10955.502720678287
61,10955.502720678287
62,10955.502720678287
63,11005.396574775017
64,11522.972281744216
65,11919.54485415849
66,12191.487972103632
67,12202.890403106916
68,12371.391223327048
69,12371.391223327048
70,12801.824833272549
71,13124.244693005727
72,13674.656675172875
73,13674.656675172875
74,13739.29212544449
75,13887.055373941706
76,13887.055373941706
77,13904.023868935205
78,13904.023868935205
79,13904.023868935205
80,13904.023868935205
81,14012.052065983697
82,14012.052065983697
83,14012.052065983697
84,14030.52999055649
85,14030.52999055649
86,14175.506024332699
87,14175.506024332699
88,14371.549578475153
89,14371.549578475153
90,14371.549578475153
91,14748.261082864932
92,14785.975719620446
93,14927.252621756583
94,15394.27410982133
95,15435.495086241837
96,15663.090070468064
97,15983.236869614411
98,15983.236869614411
99,16211.410011072056
100,16352.499861913813
101,16436.45858742044
102,16436.45858742044
103,16575.340356197426
104,16699.714548933545
105,17081.855136678958
106,17081.855136678958
107,17492.204966611767
108,17492.204966611767
109,17548.148732212547
110,17548.148732212547
111,17765.82772365783
112,17765.82772365783
113,17912.34151515232
114,17912.34151515232
115,17912.34151515232
116,18240.60619259085
117,18558.777285809785
118,18618.74001646075
119,18618.74001646075
120,18618.74001646075
121,18693.580279725033
122,18693.580279725033
123,18693.580279725033
124,18812.421888570658
125,19162.94384891427
126,19207.131629682175
127,19400.730561053224
128,19457.927678005362
129,19601.826551462294
130,19601.826551462294
131,19601.826551462294
132,19601.826551462294
133,19644.212180218114
134,19644.212180218114
135,19644.212180218114
136,19670.873023117496
137,20352.99877986487
138,20352.99877986487
139,20352.99877986487
140,20431.99459542237
141,20431.99459542237
142,20431.99459542237
143,20690.899434984796
144,20690.899434984796
145,20763.22483014663
146,20999.687949577026
147,21014.980050834332
148,21209.559205231166
149,21320.864287541117
150,21320.864287541117
151,21320.864287541117
152,21320.864287541117
153,21542.83555962793
154,21542.83555962793
155,21583.30819390126
156,21956.770423358612
157,22079.85096105015
158,22218.078360709413
159,22303.67642766332
160,22512.356614818502
161,22512.356614818502
162,22603.366038051012
163,22638.55048585381
164,22638.55048585381
165,22638.55048585381
166,22638.55048585381
167,22638.55048585381
168,22638.55048585381
169,22638.55048585381
170,22638.55048585381
171,22847.612509752777
172,22847.612509752777
173,22847.612509752777
174,22847.612509752777
175,22847.612509752777
176,22847.612509752777
177,22847.612509752777
178,23124.81984295084
179,23291.796954310004
180,23291.796954310004
181,23291.796954310004
182,23313.476377008898
183,23313.476377008898
184,23318.198246766602
185,23324.205095292757
186,23324.205095292757
187,23339.27633257139
188,23339.27633257139
189,23339.27633257139
190,23556.327166652212
191,23615.705416967216
192,23615.705416967216
193,23615.705416967216
194,23734.078360492418
195,23928.01268049237
196,23928.01268049237
197,23958.883585524178
198,24151.26780532433
199,24151.26780532433
200,24151.26780532433
201,24151.26780532433
202,24287.24779508768
203,24287.24779508768
204,24287.24779508768
205,24287.24779508768
206,24471.543140427984
207,24471.543140427984
208,24472.62773898616
209,24472.62773898616
210,24515.957550124902
211,24515.957550124902
212,24515.957550124902
213,24730.22462068922
214,24824.11886810566
215,24923.81693795274
216,24923.81693795274
217,24923.81693795274
218,24923.81693795274
219,24923.81693795274
220,24923.81693795274
221,24923.81693795274
222,25067.32988209599
223,25067.32988209599
224,25067.32988209599
225,25300.41804607843
226,25300.41804607843
227,25410.095181220415
228,25425.308559591234
229,25425.308559591234
230,25902.848166492688
231,25902.848166492688
232,25902.848166492688
233,26164.442311233033
234,26164.442311233033
235,26207.87131371192
236,26207.87131371192
237,26207.87131371192
238,26268.041029288157
239,26268.041029288157
240,26631.708348412387
241,26631.708348412387
242,26631.708348412387
243,26631.708348412387
244,26631.708348412387
245,26706.336957560085
246,26706.336957560085
247,26706.336957560085
248,27061.47467012922
249,27061.47467012922
250,27061.47467012922
251,27061.47467012922
252,27160.43673036387
253,27160.43673036387
254,27160.43673036387
255,27160.43673036387
256,27160.43673036387
257,27160.43673036387
258,27305.757572250113
259,27378.54967413787
260,27378.54967413787
261,27378.54967413787
262,27436.705959799827
263,27644.064147281628
264,27796.53055860949
265,27796.53055860949
266,27796.53055860949
267,27796.53055860949
268,27796.53055860949
269,27796.53055860949
270,27796.53055860949
271,27796.53055860949
272,27796.53055860949
273,28193.86462901897
274,28193.86462901897
275,28193.86462901897
276,28263.50125357286
277,28263.50125357286
278,28263.50125357286
279,28263.50125357286
280,28263.50125357286
281,28263.50125357286
282,28277.644562445872
283,28277.644562445872
284,28277.644562445872
285,28285.046102353666
286,28357.181125410818
287,28389.794771847934
288,28505.605077294644
289,28505.605077294644
290,28505.605077294644
291,28651.692521395875
292,29020.20824135729
293,29020.20824135729
294,29020.20824135729
295,29130.758273280226
296,29130.758273280226
297,29130.758273280226
298,29130.758273280226
299,29145.79293687212
300,29193.308295792947
301,29385.579873203485
302,29385.579873203485
